A,B,n,r,ci_low_95,ci_high_95,p_two_sided,q_fdr_bh
behavior_language,Futrell2018-pearsonr,10,0.9999999999999999,0.9999999999956001,0.9999999999997727,0.0,0.0
neural,Pereira2018_linear,13,1.0,0.9999999999965458,0.9999999999997106,0.0,0.0
Pereira2018_linear,Pereira2018.243sentences-linear,13,0.9946822514619322,0.9817501212143184,0.9984576178212045,3.2671643168669107e-12,1.715261266355128e-11
neural,Pereira2018.243sentences-linear,13,0.9946822514619322,0.9817501212143184,0.9984576178212045,3.2671643168669107e-12,1.715261266355128e-11
Pereira2018_linear,Pereira2018.384sentences-linear,13,0.9934543288142491,0.9775696167868154,0.9981006358534825,1.0218270674045016e-11,3.5763947359157555e-11
neural,Pereira2018.384sentences-linear,13,0.9934543288142491,0.9775696167868154,0.9981006358534825,1.0218270674045016e-11,3.5763947359157555e-11
average_language,Pereira2018.243sentences-linear,13,0.9909941513467058,0.9692313516246671,0.9973844723713585,5.881362064030782e-11,1.7644086192092345e-10
average_language,Pereira2018_linear,13,0.9898383620937908,0.9653312099982083,0.9970475856187021,1.1400747013112777e-10,2.660174303059648e-10
neural,average_language,13,0.9898383620937907,0.965331209998208,0.9970475856187021,1.1400747013112777e-10,2.660174303059648e-10
Pereira2018.243sentences-linear,Pereira2018.384sentences-linear,13,0.9764093876341964,0.9208041526810309,0.993112887354316,1.1416225298432892e-08,2.1900956563443555e-08
average_language,Pereira2018.384sentences-linear,13,0.9763883268688662,0.9207354406771922,0.9931066868018452,1.1471929628470434e-08,2.1900956563443555e-08
average_language,Futrell2018-pearsonr,10,0.24389650015415978,-0.45572113012785925,0.7572442997720444,0.4970966363233684,0.8030022586762106
average_language,behavior_language,10,0.24389650015415978,-0.45572113012785925,0.7572442997720444,0.4970966363233684,0.8030022586762106
Pereira2018.243sentences-linear,Futrell2018-pearsonr,10,0.03748072644382341,-0.606465874666856,0.6517348485440185,0.9181259925248737,0.9878665662744419
Pereira2018.243sentences-linear,behavior_language,10,0.03748072644382341,-0.606465874666856,0.6517348485440185,0.9181259925248737,0.9878665662744419
Pereira2018_linear,Futrell2018-pearsonr,10,0.015087194107977877,-0.6204411523089922,0.6386548609823376,0.9670042741727694,0.9878665662744419
Pereira2018_linear,behavior_language,10,0.015087194107977877,-0.6204411523089922,0.6386548609823376,0.9670042741727694,0.9878665662744419
neural,Futrell2018-pearsonr,10,0.015087194107977877,-0.6204411523089922,0.6386548609823376,0.9670042741727694,0.9878665662744419
neural,behavior_language,10,0.015087194107977877,-0.6204411523089922,0.6386548609823376,0.9670042741727694,0.9878665662744419
Pereira2018.384sentences-linear,Futrell2018-pearsonr,10,-0.005546883223127691,-0.6329707435814979,0.6262749040642035,0.9878665662744419,0.9878665662744419
Pereira2018.384sentences-linear,behavior_language,10,-0.005546883223127691,-0.6329707435814979,0.6262749040642035,0.9878665662744419,0.9878665662744419
